Suite/Test/Step Name,Browser,Description,Tag,Start time,End time,Duration,Status
Titular,Chrome 87.0.4280.88,,,2020-12-06 16:17:35,2020-12-06 16:18:01,"25,744s",FAILED
,,,,,,,
Test Cases/Titular/titular,Chrome 87.0.4280.88,,,2020-12-06 16:17:37,2020-12-06 16:18:01,"23,830s",FAILED
"openBrowser("""")",Chrome 87.0.4280.88,,,2020-12-06 16:17:38,2020-12-06 16:17:43,"5,414s",PASSED
"navigateToUrl(""http://localhost:8282/confia/exte/"")",Chrome 87.0.4280.88,,,2020-12-06 16:17:43,2020-12-06 16:17:46,"2,992s",PASSED
"click(findTestObject(""Titular/a_Firmas Externas""))",Chrome 87.0.4280.88,,,2020-12-06 16:17:46,2020-12-06 16:17:46,"0,366s",PASSED
"click(findTestObject(""Titular/a_Gestin de Titulares""))",Chrome 87.0.4280.88,,,2020-12-06 16:17:46,2020-12-06 16:17:49,"2,807s",PASSED
"click(findTestObject(""Titular/span_Nuevo""))",Chrome 87.0.4280.88,,,2020-12-06 16:17:49,2020-12-06 16:17:50,"0,366s",PASSED
"setText(findTestObject(""Titular/input_Nombres_frmNewidNombre""), ""oscar"")",Chrome 87.0.4280.88,,,2020-12-06 16:17:50,2020-12-06 16:17:51,"1,437s",FAILED
